LINK,NAME
10000,Bupleurum odontites
1670,Bupleurum rotundifolium
1669,Bupleurum subovatum
170,Bupleurum tenuissimum
6092,Butomus
171,Butomus umbellatus
6702,Buxus
5171,Buxus sempervirens
8806,Cabomba
9045,Cabomba aquatica
5533,Cabomba caroliniana
8684,Caiophora
9046,Caiophora lateritia
6093,Cakile
172,Cakile maritima
6094,Calamagrostis
50,Calamagrostis arenaria
6857,Calamagrostis arundinacea
173,Calamagrostis canescens
174,Calamagrostis epigejos
176,Calamagrostis pseudophragmites
175,Calamagrostis stricta
49,Calamagrostis x calammophila
2476,Calamagrostis x gracilescens
6027,Calammophila (x)
8685,Calandrinia
9468,Calandrinia ciliata
9047,Calandrinia compressa
8686,Calceolaria
9048,Calceolaria integrifolia
9049,Calceolaria tripartita
6568,Calendula
1671,Calendula arvensis
2214,Calendula officinalis
6095,Calepina
177,Calepina irregularis
8687,Calibrachoa
9050,Calibrachoa parviflora
6096,Calla
178,Calla palustris
8807,Callicarpa
8146,Callicarpa bodinieri
8808,Callistephus
8147,Callistephus chinensis
6097,Callitriche
10520,Callitriche brutia
2460,Callitriche brutia var. brutia
180,Callitriche brutia var. hamulata
179,Callitriche cophocarpa
181,Callitriche hermaphroditica
182,Callitriche obtusangula
183,Callitriche palustris
184,Callitriche platycarpa
5195,Callitriche platycarpa / stagnalis / obtusangula
185,Callitriche stagnalis
8425,Callitriche terrestris
5315,Callitriche truncata subsp. occidentalis
6098,Calluna
186,Calluna vulgaris
5523,Calluna vulgaris var. hirsuta
8809,Calocedrus
8534,Calocedrus decurrens
6099,Caltha
2338,Caltha palustris
187,Caltha palustris subsp. palustris
1460,Caltha palustris subsp. radicans
6100,Calystegia
9532,Calystegia pulchra
9680,Camassia
9645,Camassia cusickii
6569,Camelina
10457,Camelina microcarpa
5325,Camelina sativa
190,Camelina sativa subsp. alyssum
1629,Camelina sativa subsp. sativa
6101,Campanula
9518,Campanula alsinoides
5387,Campanula carpatica
8017,Campanula erinus
9519,Campanula fenestrellata
8626,Campanula garganica
191,Campanula glomerata
8148,Campanula lactiflora
192,Campanula latifolia
5326,Campanula medium
193,Campanula patula
194,Campanula persicifolia
5353,Campanula portenschlagiana
5352,Campanula poscharskyana
5388,Campanula pyramidalis
